category,value,question,answer
AMERICAN EXPLORERS,100,Edward Beale brought news of this 1848 discovery in California to the east coast,gold
MEASURING DEVICES,100,The amount of this in a solution can be measured by a saccharometer,sugar
MYTHOLOGY,100,Daedalus used this substance to fasten the wings to his back,wax
TELEVISION,100,"This Sunday night series is subtitled ""The New Adventures of Superman""",Lois & Clark
ANNUAL EVENTS,100,This state's Days of '47 Festival honors the day Brigham Young reached the Salt Lake Valley in 1847,Utah
HOMOPHONIC PAIRS,100,A complete donut center,whole hole
AMERICAN EXPLORERS,200,"Stephen Long & Zebulon Pike have peaks named for them in this state, an area they said was uninhabitable",Colorado
MEASURING DEVICES,200,The energy from this is measured by a pyrheliometer,the Sun
MYTHOLOGY,200,Cadmus planted these parts of a dragon to raise some troops,teeth
TELEVISION,200,"""Freddy's Nightmares"", a horror anthology that debuted in 1988, was based on this movie series",Nightmare on Elm Street
ANNUAL EVENTS,200,"Monroe, near Snohomish in this state, is the site of the annual Evergreen State Fair",Washington
HOMOPHONIC PAIRS,200,"In a restaurant, it's a quartet's table request",for four
AMERICAN EXPLORERS,300,Co-commanders of the 1st U.S. expedition to explore from Mississippi to the west coast,Lewis & Clark
MEASURING DEVICES,300,An odometer measures the distance covered by a vehicle & this device measures how far you've walked,a pedometer
MYTHOLOGY,300,"The sister of Orestes, mourning became her",Electra
TELEVISION,300,This crime drama with Robert Wagner & Stefanie Powers was created by Sidney Sheldon,Hart to Hart
ANNUAL EVENTS,300,"Dog lovers look forward to the Westminster Kennel Club dog show, held each February in this city",New York City
HOMOPHONIC PAIRS,300,Contented performing kittens might be paid this way,per purr
AMERICAN EXPLORERS,400,Jedediah Smith was a mountain man & explorer employed in this industry,fur trading
MEASURING DEVICES,400,A spirometer measures the capacity of these organs,the lungs
MYTHOLOGY,400,"Zeus' father, Cronus, was one of this group of 12",Titans
TELEVISION,600,"Character seen <a href=""http://www.j-archive.com/media/1996-12-06_J_04.wmv"">here</a>, his action-packed journeys are legendary:",Hercules (Kevin Sorbo)
ANNUAL EVENTS,400,"The Pendleton Roundup, an annual rodeo, takes place in Pendleton in this northwestern state",Oregon
HOMOPHONIC PAIRS,400,A squash that's been pierced by a bull's horn,gored gourd
AMERICAN EXPLORERS,500,"Senator Thomas Hart Benton's son-in-law was this ""Pathfinder""",John C. Frémont
MEASURING DEVICES,500,A nilometer measures the height of the water in this,the Nile River
MYTHOLOGY,500,"Leda laid 2 eggs:  one with Helen & Pollux in it, the other containing Clytemnestra & him",Castor
TELEVISION,500,"Jack Wagner, formerly of ""General Hospital"", now plays Dr. Peter Burns on this Fox drama",Melrose Place
ANNUAL EVENTS,500,The Tanglewood Music Festival is a summer highlight in Lenox in this New England state,Massachusetts
HOMOPHONIC PAIRS,500,Remained sedate,stayed staid
NOTABLE NONHUMANS,200,"This Nazi dictator sometimes dined alone with Blondi, his Alsatian",Adolf Hitler
WORLD FACTS,200,This isthmus connects North & South America,Isthmus of Panama
ART & ARTISTS,200,"He painted ""Irises"" & ""Pink Roses"" as well as ""Sunflowers""",Vincent Van Gogh
